id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
nictamhk/restaurant-order-chatbot__.archive;nictamhk/restaurant-order-chatbot;https://github.com/nictamhk/restaurant-order-chatbot;2;1;2022-01-11T05:38:50Z;2023-05-16T10:10:04Z;2022-04-11T09:29:02Z;main;nictamhk;26013161;User;a0318c5f4c8d75d9621694c254a72a7770efedd8;2022-04-11T09:28:58Z;.archive;['.archive/domain.yml', '.archive/domain.yml.bak'];2;[];0;['.archive/actions/actions.py'];1;['.archive/README.md'];1;['.archive/config.yml'];1;['webapp/client/webapp/ui/README.md']
nictamhk/restaurant-order-chatbot__rasa-nlu;nictamhk/restaurant-order-chatbot;https://github.com/nictamhk/restaurant-order-chatbot;2;1;2022-01-11T05:38:50Z;2023-05-16T10:10:04Z;2022-04-11T09:29:02Z;main;nictamhk;26013161;User;a0318c5f4c8d75d9621694c254a72a7770efedd8;2022-04-11T09:28:58Z;rasa-nlu;['rasa-nlu/domain.yml', 'rasa-nlu/domain.yml.bak'];2;['rasa-nlu/data/nlu.yml', 'rasa-nlu/data/nlu/confirm.md'];2;['rasa-nlu/actions/actions.py'];1;[];0;['rasa-nlu/config.yml', 'rasa-nlu/config/config_rasanlp.yml', 'rasa-nlu/config/config_rivanlp.yml'];3;[]
gursharan-info/idp_chatbot__domain-grp;gursharan-info/idp_chatbot;https://github.com/gursharan-info/idp_chatbot;0;1;2021-03-23T05:26:48Z;2021-12-24T11:16:35Z;2021-10-17T16:28:36Z;main;gursharan-info;14989621;User;28158e0e2a0a96369a75a5c9e59f62a6df3862e8;2021-10-17T16:28:08Z;domain-grp;['domain-grp/domain-faq-fel-b0.yml', 'domain-grp/domain-dataset-specific-b0.yml', 'domain-grp/domain-faq-portal-b0.yml', 'domain-grp/domain-faq-viz-b5.yml', 'domain-grp/domain-faq-viz-b0.yml', 'domain-grp/domain-faq-dataset-b0.yml', 'domain-grp/domain-faq-viz-b3.yml', 'domain-grp/domain-faq-viz-b4.yml', 'domain-grp/domain-faq-viz-b1.yml', 'domain-grp/domain-faq-training-b0.yml', 'domain-grp/domain-faq-training-b1.yml', 'domain-grp/domain-faq-viz-b6.yml', 'domain-grp/domain-faq-viz-b2.yml', 'domain-grp/domain-faq-portal-b1.yml', 'domain-grp/domain-faq-dataset-b1.yml', 'domain-grp/domain-multilingual-b1.yml'];16;[];0;[];0;['README.md'];1;[];0;[]
Bavalpreet/Chatbot_IDP__domain-grp;Bavalpreet/Chatbot_IDP;https://github.com/Bavalpreet/Chatbot_IDP;2;1;2021-07-26T07:01:12Z;2021-12-22T12:26:13Z;2021-07-26T07:15:16Z;main;Bavalpreet;42736937;User;371ae82175bdfe92948a664748bcc82d52630ce8;2021-07-26T07:15:16Z;domain-grp;['domain-grp/domain-faq-dataset-b0.yml', 'domain-grp/domain-faq-dataset-b1.yml', 'domain-grp/domain-faq-fel-b0.yml', 'domain-grp/domain-faq-portal-b0.yml', 'domain-grp/domain-faq-portal-b1.yml', 'domain-grp/domain-faq-training-b0.yml', 'domain-grp/domain-faq-training-b1.yml', 'domain-grp/domain-faq-viz-b0.yml', 'domain-grp/domain-faq-viz-b1.yml', 'domain-grp/domain-faq-viz-b2.yml', 'domain-grp/domain-faq-viz-b3.yml', 'domain-grp/domain-faq-viz-b4.yml', 'domain-grp/domain-faq-viz-b5.yml', 'domain-grp/domain-faq-viz-b6.yml'];14;[];0;[];0;['README.md'];1;[];0;[]
shilpajv/bankBOT__.;shilpajv/bankBOT;https://github.com/shilpajv/bankBOT;0;1;2020-10-12T14:44:55Z;2021-05-15T11:31:31Z;2021-05-15T11:31:29Z;main;shilpajv;50773708;User;77414235bace83e6db5f6ba4e116ce2b9c139014;2021-05-15T11:31:29Z;.;['domain.yml', 'domain_easy.yml'];2;[];0;[];0;['README.md', 'data/code/README.md', 'ner_v2/detectors/numeral/number/README.md', 'ner_v2/detectors/numeral/number_range/README.md', 'ner_v2/detectors/pattern/phone_number/README.md', 'ner_v2/detectors/temporal/date/README.md', 'ner_v2/detectors/temporal/time/README.md'];7;['config - light.yml', 'config.yml'];2;[]
shilpajv/bankBOT__ras/y;shilpajv/bankBOT;https://github.com/shilpajv/bankBOT;0;1;2020-10-12T14:44:55Z;2021-05-15T11:31:31Z;2021-05-15T11:31:29Z;main;shilpajv;50773708;User;77414235bace83e6db5f6ba4e116ce2b9c139014;2021-05-15T11:31:29Z;ras/y;['ras/y/domain (1).yml', 'ras/y/domain - Copy.yml', 'ras/y/domain.yml'];3;['ras/data/nlu.yml', 'ras/y/data/nlu.yml'];2;[];0;['README.md', 'ras/y/README.md', 'ras/y/ner_v2/detectors/numeral/number/README.md', 'ras/y/ner_v2/detectors/numeral/number_range/README.md', 'ras/y/ner_v2/detectors/pattern/phone_number/README.md', 'ras/y/ner_v2/detectors/temporal/date/README.md', 'ras/y/ner_v2/detectors/temporal/time/README.md'];7;['ras/y/config.yml', 'ras/y/config_fasttext.yml', 'ras/y/config_transformers.yml'];3;[]
Maulish613/PythonChatbot__.;Maulish613/PythonChatbot;https://github.com/Maulish613/PythonChatbot;0;0;2021-03-08T20:05:38Z;2021-03-08T20:31:05Z;2021-03-08T20:31:02Z;main;Maulish613;64555098;User;bba7ee70a0b6f00ada7b58aaf63af7d16927de37;2021-03-08T20:17:56Z;.;['domain.yml', 'sample_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md', 'samplechatbot/training_data.json'];3;[];0;[];0;['samplechatbot/metadata.json'];1;[]
coderon98/rasa_chatbot__domain;coderon98/rasa_chatbot;https://github.com/coderon98/rasa_chatbot;0;0;2021-01-17T17:03:48Z;2021-02-26T13:14:34Z;2021-03-03T21:25:09Z;master;coderon98;47818458;User;a3669dc0a094593f45671d692632e0e17c8f8a2f;2021-02-26T13:14:32Z;domain;['domain/domain.yml', 'domain/domain_assistance_vpn.yml', 'domain/domain_context.yml', 'domain/domain_demande_material.yml', 'domain/domain_teamviewer.yml'];5;[];0;[];0;[];0;[];0;[]
karnehm/Chatbot_data_augmentation_and_learningtypes__data;karnehm/Chatbot_data_augmentation_and_learningtypes;https://github.com/karnehm/Chatbot_data_augmentation_and_learningtypes;1;0;2020-03-24T10:04:26Z;2021-01-31T13:41:38Z;2020-09-21T12:58:29Z;master;karnehm;23557078;User;77717b4e29aa0a78c3b39a0e36b169b2dc15ecbd;2020-09-21T12:58:23Z;data;['data/chitchat_domain.yml', 'data/multi_chitchat_domain.yml'];2;['data/chitchat_nlu.md', 'data/multi_chitchat_nlu.md'];2;['actions.py'];1;['README.md'];1;[];0;[]
charlesXu86/Chatbot_RASA__domain;charlesXu86/Chatbot_RASA;https://github.com/charlesXu86/Chatbot_RASA;59;26;2019-07-23T08:45:53Z;2024-07-12T12:19:33Z;2020-07-26T03:15:58Z;master;charlesXu86;13271848;User;31f0ac4bed064d9ab7d6a821d8c6e3d5ec01ed4f;2020-07-26T03:15:23Z;domain;['domain/domain_weather.yml', 'domain/domain_disease.yml', 'domain/domain_daogou.yml'];3;[];0;[];0;[];0;[];0;[]
