id;full-name;html-url;stars;forks;owner-name;owner-type;created-at;last-commit;last-commit-date;domain-files;type;n-intents;intents;n-entities;entities;n-actions;actions;n-actions-custom;actions-custom;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;config-languages;training-language;response-languages;languages;pure-english;external-services-actions;n-external-services-actions;external-services-readme;n-external-services-readme
Aazim-parwaz/Rasa-Covid-ChatBot;Aazim-parwaz/Rasa-Covid-ChatBot;https://github.com/Aazim-parwaz/Rasa-Covid-ChatBot;2;0;Aazim-parwaz;User;2021-11-25T07:37:46Z;9c6d014897a8c668bbf6a68ae056461b8a850af7;2023-01-03T21:31:26Z;['domain.yml'];sfsd;23;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'corona_intro', 'corona_spread', 'corona_food_spread', 'corona_spread_warm', 'corona_spread_risk', 'corona_states_stat', 'name_entry', 'location_entry', 'corona_stats_check', 'corona_community', 'corona_mosq_spread', 'corona_prevent', 'corona_symptoms', 'corona_vaccine', 'corona_infected person', 'Thanks'];2;['name', 'state'];4;['actions_corona_state_stat', 'actions_name_show', 'action_hello_world_action_test', 'action_get_loc'];2;['actions_corona_state_stat', 'action_get_loc'];2;['name', 'state'];2;0;['text', 'text'];0;[];3.1;['en'];['en'];['en'];['en'];True;['https://api.covid19india.org/data.json'];1;['Rootnet API', 'Telegram'];2
KI-Campus/chatbot-kim__rasa/KI-Campus_en;KI-Campus/chatbot-kim;https://github.com/KI-Campus/chatbot-kim;4;1;KI-Campus;Organization;2022-04-12T12:43:13Z;e6b98cf8ee1dc16f3aee8dbc1711eb0335d0c65b;2023-11-13T09:36:27Z;['rasa/KI-Campus_en/domain.yml'];mfsd;13;['deny', 'affirm', 'faq', 'get_course', 'get_achievements', 'get_courses', 'help', 'out_of_scope', 'bot_challenge', 'human_handoff', 'insults', 'courses', 'search_topics'];4;['certificate_type', 'Course', 'country', 'search_topic'];7;['action_get_courses', 'action_get_courses_buttons', 'action_get_achievements', 'action_course_set', 'action_set_current_course', 'action_download_certificate', 'action_search_topic'];6;['action_get_courses', 'action_get_courses_buttons', 'action_get_achievements', 'action_course_set', 'action_download_certificate', 'action_search_topic'];7;['all_courses', 'current_course_title', 'current_course', 'current_achievements', 'course-set', 'current_course_achieved', 'courses_available'];2;1;['list', 'text', 'list', 'list', 'bool', 'bool', 'bool'];1;['course_form'];3.1;['en'];['en'];['en'];['en'];True;['DFKI recommender API', 'learn.ki-campus.org', 'load_config'];3;['Course Recommender Endpoint'];1
mebaysan/IntroductionToChatbotsWithRasa;mebaysan/IntroductionToChatbotsWithRasa;https://github.com/mebaysan/IntroductionToChatbotsWithRasa;8;0;mebaysan;User;2022-01-17T09:00:34Z;3f5433b319cfb0533c27da03d215408a7c219a6a;2022-01-17T17:43:34Z;['domain.yml'];sfsd;5;['greet', 'goodbye', 'find_time_zone', 'city_info', 'thanks'];1;['target_timezone'];1;['action_find_timezone'];1;['action_find_timezone'];1;['target_timezone'];1;0;['text'];0;[];3.0;['en'];['en'];['en'];['en'];True;['worldtimeapi.org'];1;;
openHPI/ki-campus-bot__rasa/KI-Campus_en;openHPI/ki-campus-bot;https://github.com/openHPI/ki-campus-bot;3;3;openHPI;Organization;2020-06-03T11:55:53Z;65d3fd2f1912cc8eefb7caf715a17222bb383a14;2022-03-02T13:34:59Z;['rasa/KI-Campus_en/domain.yml'];mfsd;7;['deny', 'affirm', 'faq', 'get_course', 'get_achievements', 'get_courses', 'inform'];4;['certificate_type', 'course_name', 'Course', 'country'];7;['action_get_courses', 'action_get_courses_buttons', 'action_get_achievements', 'action_course_set', 'action_set_current_course', 'action_download_certificate', 'action_all_slots'];7;['action_get_courses', 'action_get_courses_buttons', 'action_get_achievements', 'action_course_set', 'action_set_current_course', 'action_download_certificate', 'action_all_slots'];7;['all_courses', 'current_course_title', 'current_course', 'current_achievements', 'course-set', 'current_course_achieved', 'courses_available'];0;1;['list', 'text', 'list', 'list', 'bool', 'bool', 'bool'];1;['course_form'];3.0;['en'];['en'];['en'];['en'];True;['learn.ki-campus.org'];1;[];0
ricktorzynski/rasa-knowledge-base;ricktorzynski/rasa-knowledge-base;https://github.com/ricktorzynski/rasa-knowledge-base;2;0;ricktorzynski;User;2022-09-16T06:12:57Z;a10bd9f77f406db47db11c59666299e31c963a79;2022-09-16T18:29:48Z;['domain.yml'];sfsd;21;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'define', 'creator', 'creation', 'release_7', 'release_8', 'release_9', 'release_10', 'end_of_life_7', 'end_of_life_8', 'number_of_sites', 'drupal_logo', 'add_contact_info', 'inform', 'tell_joke'];3;['release', 'user_name', 'user_email'];1;['action_joke'];1;['action_joke'];2;['user_name', 'user_email'];2;0;['text', 'text'];1;['contact_info_form'];3.1;['en'];['en'];['en'];['en'];True;['api.icndb.com'];1;['Neo4j'];1
