id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files
rctatman/personal_website_bot;rctatman/personal_website_bot;https://github.com/rctatman/personal_website_bot;41;21;2020-11-20T00:51:38Z;2024-10-25T17:51:14Z;2021-05-28T17:21:20Z;main;rctatman;9597256;User;a5d518f956bf5c2eba92d260be8f02eaea08aac9;2021-05-28T17:21:16Z;.;['forms.yml', 'responses.yml', 'domain.yml'];3;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
mathiasgodwin/Rixi-public;mathiasgodwin/Rixi-public;https://github.com/mathiasgodwin/Rixi-public;2;0;2021-03-28T04:34:38Z;2022-10-08T03:28:20Z;2021-05-25T02:00:52Z;main;mathiasgodwin;51170962;User;a7b5e67556192527d856de28ba2a7fccd44b271f;2021-05-25T02:00:52Z;Rixi/domains;['Rixi/domains/weather_domain.yml', 'Rixi/domains/bot_profile_domain.yml', 'Rixi/domains/user_profile_domain.yml', 'Rixi/domains/news_api_domain.yml', 'Rixi/domains/smalltalk_domain.yml'];5;['Rixi/data/nlu/bot_profile_nlu.yml', 'Rixi/data/nlu/lookups/location.yml', 'Rixi/data/nlu/news_nlu.yml', 'Rixi/data/nlu/smalltalk_nlu.yml', 'Rixi/data/nlu/user_profile_nlu.yml', 'Rixi/data/nlu/weather_nlu.yml'];6;['Rixi/actions/news_api_actions.py', 'Rixi/actions/weather_actions.py'];2;['README.md'];1;['Rixi/config.yml'];1
AbishekMLEngineer/ChatBotFrameWorkWithRASA;AbishekMLEngineer/ChatBotFrameWorkWithRASA;https://github.com/AbishekMLEngineer/ChatBotFrameWorkWithRASA;1;0;2021-05-23T17:04:46Z;2022-03-10T07:42:41Z;2021-05-23T18:17:10Z;master;AbishekMLEngineer;22616085;User;9d7e8b6a7564626365871b8a117f0895198608c9;2021-05-23T18:09:31Z;.;['domain.yml', 'domain26VeryImp.yml', 'domain26VeryImportant.yml', 'domain26morning.yml', 'domain27.yml', 'domainEvening.yml', 'domainFinal.yml', 'garbagedomain.yml'];8;['data/garbagenlu.yml', 'data/nlu.md', 'data/nlu24.md', 'data/nlu26Morning.md', 'data/nlu26VeryImp.md', 'data/nlu26VeryImportant.md', 'data/nlu27Imp.md', 'data/nluEven.md', 'data/nluFinal.md', 'data/nlu_12_23.md'];10;['actions.py', 'actions/actions.py'];2;[];0;['config.yml'];1
swagathas/AIML--RASA-Chatbot;swagathas/AIML--RASA-Chatbot;https://github.com/swagathas/AIML--RASA-Chatbot;0;0;2021-05-05T12:29:31Z;2021-05-05T12:35:46Z;2021-05-05T12:35:43Z;main;swagathas;30976054;User;63ccca4fef7d7b8d741766a30afc8e7772dadf66;2021-05-05T12:35:43Z;.;['domain.yml', 'domain2.yml'];2;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1
tnichlani/RASA-Chatbot;tnichlani/RASA-Chatbot;https://github.com/tnichlani/RASA-Chatbot;0;0;2021-04-23T09:22:35Z;2021-04-23T09:22:35Z;2021-04-23T09:26:39Z;main;tnichlani;63067238;User;5ea0f2d8d6c499a19ac61dabbf9517b95b26a0e0;2021-04-23T09:26:39Z;Rasa_chatbot;['Rasa_chatbot/domain.yml', 'Rasa_chatbot/domain1.yml', 'Rasa_chatbot/domain3.yml', 'Rasa_chatbot/domain4.yml', 'Rasa_chatbot/domain5.yml'];5;['Rasa_chatbot/nlu.md', 'Rasa_chatbot/nlu1.md', 'Rasa_chatbot/nlu2.md', 'Rasa_chatbot/nlu3.md', 'Rasa_chatbot/nlu4.md', 'Rasa_chatbot/nlu5.md'];6;['Rasa_chatbot/actions.py'];1;['README.md'];1;['Rasa_chatbot/config.yml'];1
amit154/NLP-ChatBot-Building-;amit154/NLP-ChatBot-Building-;https://github.com/amit154/NLP-ChatBot-Building-;0;0;2021-04-18T07:28:14Z;2021-04-18T07:31:39Z;2021-04-18T07:31:37Z;main;amit154;58486791;User;c3f9214c3b1061492294797bbfe4f097a15936ca;2021-04-18T07:31:37Z;.;['domain.yml', 'domain2.yml'];2;['data/nlu.json', 'data/nlu.md', 'data/nlu2.md'];3;['actions.py'];1;['README.md'];1;['config.yml'];1
luis-f-lins/process-aware-conversational-agent;luis-f-lins/process-aware-conversational-agent;https://github.com/luis-f-lins/process-aware-conversational-agent;4;0;2020-09-16T22:55:02Z;2024-07-19T20:01:33Z;2021-03-14T21:28:10Z;master;luis-f-lins;16650877;User;4a5cfaad9e9c412eb0ddf22baddd19feb4920ed3;2021-03-14T21:21:41Z;.;['domain.yml', 'domain_simple.yml', 'domain_simple_2.yml'];3;['data/nlu.md'];1;['actions/actions.py'];1;['README.md'];1;['config.yml'];1
divyanshh/hotel_chatbot;divyanshh/hotel_chatbot;https://github.com/divyanshh/hotel_chatbot;0;0;2021-01-16T21:50:12Z;2023-08-24T13:35:12Z;2021-01-16T21:58:58Z;master;divyanshh;14306258;User;842835283fa94054459c62209717437b700149f2;2021-01-16T21:58:50Z;domain;['domain/domain_book_room.yml', 'domain/domain_faq.yml', 'domain/domain_greet.yml', 'domain/domain_room_cleaning.yml'];4;['data/nlu/nlu_book_room.yml', 'data/nlu/nlu_faq.yml', 'data/nlu/nlu_greet.yml', 'data/nlu/nlu_room_cleaning.yml'];4;['actions/room_cleaning/actions_get_room_cleaning_after_hours.py', 'actions/room_cleaning/actions_get_room_cleaning_after_minutes.py', 'actions/book_room/actions_set_rooms_for_n_people.py', 'actions/book_room/actions_clear_form_slots.py'];4;['README.md'];1;['config.yml'];1
NavyaKollu/rasa_chatbot;NavyaKollu/rasa_chatbot;https://github.com/NavyaKollu/rasa_chatbot;0;0;2020-12-23T15:53:16Z;2020-12-24T13:38:40Z;2020-12-24T13:38:37Z;main;NavyaKollu;64639038;User;484156086c64a7a0b8db3eec081cb1ccc3c10810;2020-12-24T13:38:36Z;.;['domain.yml', 'domain2.yml'];2;['data/nlu.md'];1;['actions.py'];1;['README.md'];1;['config.yml'];1
Digital-Umuganda/RASA_COVID_CHATBOT_ENGLISH;Digital-Umuganda/RASA_COVID_CHATBOT_ENGLISH;https://github.com/Digital-Umuganda/RASA_COVID_CHATBOT_ENGLISH;0;1;2020-12-08T10:17:58Z;2020-12-21T09:25:56Z;2020-12-17T18:24:19Z;master;Digital-Umuganda;68810856;Organization;cc894ca45fb519e8569b666086faf4b01ef44f08;2020-12-17T18:21:10Z;data/domain;['data/domain/healthFacResp.yml', 'data/domain/largeGatherResp.yml', 'data/domain/nluDomain.yml', 'data/domain/preventResp.yml', 'data/domain/travelerResp.yml'];5;['data/nlu/healthFacilities.yml', 'data/nlu/largeGathering.yml', 'data/nlu/nlu.yml', 'data/nlu/prevention.yml', 'data/nlu/travelers.yml'];5;['actions/actions.py'];1;[];0;['config.yml'];1
debashis1983/ChatBotAssignment;debashis1983/ChatBotAssignment;https://github.com/debashis1983/ChatBotAssignment;0;0;2020-10-26T11:00:43Z;2020-11-24T09:08:12Z;2020-11-24T09:08:07Z;master;debashis1983;4145637;User;821a0a8b76812275e081171906e1e6458973afca;2020-11-24T09:08:05Z;.;['domain.yml', 'domain_new.yml', 'domain_train.yml'];3;['data/nlu.md'];1;['actions.py'];1;[];0;['config.yml', 'nlu_config.yml'];2
AnindoDGupta/ChatBot_using_RASA;AnindoDGupta/ChatBot_using_RASA;https://github.com/AnindoDGupta/ChatBot_using_RASA;0;0;2020-11-05T20:57:02Z;2020-11-05T20:59:49Z;2020-11-05T20:59:46Z;main;AnindoDGupta;33187800;User;0e80acb46c5283cb0a39ed1836672329c644cd14;2020-11-05T20:59:06Z;.;['domain.yml', 'domain_old.yml'];2;['data/nlu.md'];1;['actions.py'];1;[];0;['config.yml', 'config_old.yml'];2
dziem/rasa-computer-vision;dziem/rasa-computer-vision;https://github.com/dziem/rasa-computer-vision;0;0;2020-09-06T06:37:06Z;2020-09-06T06:43:23Z;2020-09-06T06:43:20Z;master;dziem;21971701;User;1017a6e514e60cc371e5d7d3f8b2aece19c497f9;2020-09-06T06:43:19Z;chatbot/chatbot;['chatbot/chatbot/chat_domain.yml', 'chatbot/chatbot/gambar_domain.yml'];2;['chatbot/chatbot/data/data.md'];1;[];0;[];0;['chatbot/chatbot/models/nlu/default/chat_nlu/metadata.json', 'chatbot/chatbot/models/nlu/default/gambar_nlu/metadata.json'];2
kunal-talkingmart/RASA;kunal-talkingmart/RASA;https://github.com/kunal-talkingmart/RASA;0;0;2020-08-04T06:40:12Z;2020-08-05T09:46:04Z;2024-03-20T15:34:31Z;master;kunal-talkingmart;69184593;User;5b12ab1a4340d2b82a15c9bf1bcbc2578241a543;2020-08-05T09:44:17Z;.;['domain.yml', 'domain1.yml'];2;['data/nlu.md', 'data/nlu/nlu.md', 'data/nlu/nlu1.md'];3;['actions/handoff.py', 'actions/profileOLD.py', 'actions/actions.py', 'actions/parsing.py', 'actions/profile.py'];5;['README.md'];1;['config.yml'];1
darshika155/Restaurant-Search-Bot;darshika155/Restaurant-Search-Bot;https://github.com/darshika155/Restaurant-Search-Bot;0;0;2020-06-15T09:40:16Z;2020-06-15T10:08:37Z;2020-06-15T10:08:35Z;master;darshika155;13370738;User;0417c95e8e93159cf2ccfb44b5d4a5393da1150e;2020-06-15T10:05:22Z;.;['domain.yml', 'domain_old.yml'];2;['data/nlu.md'];1;['actions.py'];1;[];0;['config.yml'];1
xiaoxiong74/rasa_chatbot;xiaoxiong74/rasa_chatbot;https://github.com/xiaoxiong74/rasa_chatbot;139;45;2019-03-01T09:55:39Z;2025-01-03T03:59:14Z;2020-05-16T01:41:35Z;master;xiaoxiong74;30488265;User;e4fe5b48a9d95c361ab969996ebde6e1120d60d9;2020-05-16T01:41:35Z;.;['domain.yml', 'mobile_domain.yml'];2;['data/nlu_interactive.md', 'data/rasa_dataset_training.json', 'data_bak/nlu_interactive.md', 'data_bak/rasa_dataset_training.json', 'endpoints.yml'];5;['actions.py'];1;['README.md'];1;['configs/config_embedding_bilstm.yml', 'configs/elmo_model_config.yml', 'configs/nlu_embedding_config.yml', 'configs/nlu_model_config.yml', 'configs/wordvector_config.yml'];5
PavanKumarAmara/iHelp;PavanKumarAmara/iHelp;https://github.com/PavanKumarAmara/iHelp;0;0;2020-04-26T13:20:56Z;2020-04-26T15:45:09Z;2020-04-26T15:45:06Z;master;PavanKumarAmara;32640659;User;e07182d594d89f659995d2cb8db5179698489f26;2020-04-26T15:45:06Z;iHelp;['iHelp/domain.yml', 'iHelp/domain.yml.bak'];2;['iHelp/data/nlu.md'];1;['iHelp/actions.py'];1;['README.md'];1;['iHelp/config.yml'];1
ajtang/Weather-Misc;ajtang/Weather-Misc;https://github.com/ajtang/Weather-Misc;0;0;2019-02-09T00:16:00Z;2020-03-07T03:04:31Z;2020-03-07T03:04:02Z;master;ajtang;8092650;User;81ee25991170409d4e7492a9fb111182223c13a4;2020-03-07T03:04:01Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu.md', 'data/nlu_interactive.md'];3;['actions.py'];1;['README.md'];1;['models/nlu/default/weathernlu/metadata.json'];1
chiranshubhatia/Restaurant_chatbot-using-Rasa-Framework;chiranshubhatia/Restaurant_chatbot-using-Rasa-Framework;https://github.com/chiranshubhatia/Restaurant_chatbot-using-Rasa-Framework;0;0;2019-10-24T16:24:10Z;2019-10-24T16:29:55Z;2019-10-24T16:29:53Z;master;chiranshubhatia;50030365;User;e08d259e97eaf80b345ae3020c71c29473562770;2019-10-24T16:29:52Z;Rasa_basic_folder_final;['Rasa_basic_folder_final/restaurant_domain.yml', 'Rasa_basic_folder_final/restaurant_domain_old.yml'];2;['Rasa_basic_folder_final/data/data.md', 'Rasa_basic_folder_final/data/data_1.json'];2;['Rasa_basic_folder_final/actions.py'];1;['README.md'];1;['Rasa_basic_folder_final/models/nlu/default/restaurantnlu/metadata.json'];1
Manikandan-Raj/ticketbooking;Manikandan-Raj/ticketbooking;https://github.com/Manikandan-Raj/ticketbooking;1;1;2019-06-11T02:49:03Z;2024-01-16T09:21:41Z;2019-06-28T01:43:02Z;master;Manikandan-Raj;25877748;User;33c3f3b52f10ef5484cf1ee71eb45175499c5726;2019-06-28T01:42:59Z;core;['core/flight_domain.yml', 'core/subset_flightdomain.yml'];2;['data/nlu.md', 'nlubot/sample_data/data.json'];2;['core/actions.py'];1;['README.md'];1;['data/config_spacy.yml', 'nlubot/sample_data/config_spacy.json', 'nlubot/sample_data/config_spacy.yml'];3
suryavamsi1563/whether-chatbot-rasa;suryavamsi1563/whether-chatbot-rasa;https://github.com/suryavamsi1563/whether-chatbot-rasa;0;0;2019-03-26T11:37:39Z;2019-03-26T12:31:48Z;2019-05-17T11:47:44Z;master;suryavamsi1563;37625926;User;a0a6685827926927ae043d7a43ef1bf1f7ca6cf6;2019-03-26T12:37:07Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;[];0;[];0;['models/nlu/default/weathernlu/metadata.json'];1
bharath1210/simple-chatbot-with-Rasa_nlu-slack;bharath1210/simple-chatbot-with-Rasa_nlu-slack;https://github.com/bharath1210/simple-chatbot-with-Rasa_nlu-slack;0;0;2019-05-14T06:04:31Z;2019-05-14T06:14:12Z;2019-05-14T06:14:10Z;master;bharath1210;40666984;User;68310ccb9c7298cf70c350fa36cbdef71d1bf65e;2019-05-14T06:14:09Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;['actions.py'];1;['README.md'];1;['models/nlu/default/weathernlu/metadata.json'];1
elmatthw/weather-chatbot;elmatthw/weather-chatbot;https://github.com/elmatthw/weather-chatbot;0;0;2019-03-19T08:19:49Z;2019-09-30T08:49:54Z;2019-05-09T15:58:37Z;master;elmatthw;22634953;User;d0ba0daae6de5096848413c016dc56b14ca13a4e;2019-05-09T15:58:27Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;['actions.py'];1;['README.md'];1;['config.yml'];1
SandraAnildas/Quinn_Mental-Counseling-Chatbot_Main_Project_2019;SandraAnildas/Quinn_Mental-Counseling-Chatbot_Main_Project_2019;https://github.com/SandraAnildas/Quinn_Mental-Counseling-Chatbot_Main_Project_2019;0;0;2019-03-13T17:47:09Z;2019-05-06T20:17:31Z;2019-05-06T20:17:30Z;master;SandraAnildas;32107061;User;bd80432eef587521fc45cd11af990d3eee61fe9c;2019-05-06T20:17:29Z;.;['domain.yml', 'mentalhealth_domain.yml'];2;['data/data.json', 'data/data.md', 'data/nlu.md', 'projects/default/model_20190420-221011/training_data.json'];4;['actions.py'];1;[];0;['projects/default/model_20190420-221011/metadata.json'];1
brahmdev/weatherbot;brahmdev/weatherbot;https://github.com/brahmdev/weatherbot;0;0;2019-03-31T13:53:27Z;2019-03-31T13:54:12Z;2019-03-31T13:54:11Z;master;brahmdev;3377962;User;0a00a6407b48754cdc56e01ac412b18e730f9d3c;2019-03-31T13:53:57Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md', 'nlu.md'];3;['actions.py'];1;['README.md'];1;['models/nlu/default/weathernlu/metadata.json'];1
Shiv2195/ChatBot;Shiv2195/ChatBot;https://github.com/Shiv2195/ChatBot;0;0;2019-03-22T02:46:58Z;2019-06-23T08:16:54Z;2019-03-22T02:53:04Z;master;Shiv2195;35445257;User;94f844db7c9809ced7d663955163f46944ed6c83;2019-03-22T02:51:38Z;.;['domain.yml', 'horoscope_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;['actions.py'];1;[];0;['models/nlu/default/horoscopebot/metadata.json'];1
mady143/Chatter_Bot_RASA-NLu;mady143/Chatter_Bot_RASA-NLu;https://github.com/mady143/Chatter_Bot_RASA-NLu;0;0;2019-02-20T09:00:47Z;2019-02-20T09:06:22Z;2019-02-20T09:06:21Z;master;mady143;37180858;User;83c9f402eb0f717ce438483b3dfb08b8c54ea1c8;2019-02-20T09:06:20Z;.;['weather_domain.yml', 'customer_domain.yml'];2;['Video files/data/data.json', 'data/data.json'];2;['actions.py'];1;['README.md', 'Video files/README.md'];2;['config_spacy.yml'];1
cemsinano/SoccerBot;cemsinano/SoccerBot;https://github.com/cemsinano/SoccerBot;0;0;2019-02-09T21:10:15Z;2019-02-19T20:22:57Z;2019-02-19T20:22:55Z;master;cemsinano;27929002;User;d37b46daa30a2f3d9cc1ea6397311dfdc87a2b57;2019-02-19T20:22:48Z;.;['domain.yml', 'soccer_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;['actions.py'];1;['README.md'];1;['models/nlu/default/soccernlu/metadata.json'];1
ryang420/rasa_bot;ryang420/rasa_bot;https://github.com/ryang420/rasa_bot;0;1;2018-12-17T14:32:55Z;2019-01-14T08:20:00Z;2019-01-14T08:19:59Z;master;ryang420;9249372;User;118e49090dbe18b309909f41456284d144cdd3d1;2019-01-14T08:19:50Z;.;['domain.yml', 'weather_domain.yml'];2;['data/nlu/data.json', 'data/nlu/nlu_interactive.md'];2;['actions.py'];1;['README.md'];1;['models/nlu/default/weathernlu/metadata.json'];1
felipechagas/anime-chatbot;felipechagas/anime-chatbot;https://github.com/felipechagas/anime-chatbot;0;0;2019-01-10T13:58:18Z;2019-01-11T18:14:52Z;2019-01-11T18:14:50Z;master;felipechagas;5453104;User;071e1aac4c4f9dd16a92bad2302108d7eb7da7f2;2019-01-11T18:14:49Z;.;['anime_domain.yml', 'domain.yml'];2;['data/nlu_interactive.md'];1;['actions/action_anime.py', 'actions/actions.py', 'actions/action_name.py'];3;['README.md'];1;['config_spacy.json', 'config_spacy.yml'];2
samehsebr/chatbot-python;samehsebr/chatbot-python;https://github.com/samehsebr/chatbot-python;0;0;2018-08-31T14:13:07Z;2019-11-06T15:32:37Z;2018-08-31T14:21:40Z;master;samehsebr;38704284;User;13dbe17d806e297c34cc92186acfdf73c9a13ca9;2018-08-31T13:08:31Z;data;['data/domain.yml', 'data/intents.yml'];2;['data/nlu.md'];1;[];0;[];0;['config.yml'];1
harshika-dixit/Winybot;harshika-dixit/Winybot;https://github.com/harshika-dixit/Winybot;0;0;2018-04-15T16:28:03Z;2018-05-04T12:17:33Z;2018-05-04T12:17:32Z;master;harshika-dixit;33853151;User;acbb37e8ad1391624049ce57960d84ed7fbe7a21;2018-05-04T12:17:31Z;.;['domain.yml', 'wine_domain.yml'];2;['data.json', 'training_data.json'];2;['actions.py'];1;['README.md'];1;['metadata.json'];1
