id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files
rocaplin/VoltaicSparrow;rocaplin/VoltaicSparrow;https://github.com/rocaplin/VoltaicSparrow;0;0;2023-01-23T18:55:37Z;2023-03-21T00:00:17Z;2023-04-25T16:17:59Z;main;rocaplin;44077014;User;a872b86429a51e2ea6e2354ed1e0aadcc90cabe0;2023-04-25T16:17:59Z;rasa/domain;['rasa/domain/university.yml', 'rasa/domain/domain.yml', 'rasa/domain/computer_science.yml'];3;['rasa/data/computer_science.yml', 'rasa/data/nlu.yml'];2;['rasa/actions/actions.py'];1;['README.md'];1;['rasa/config.yml'];1
MHD-Hamza-Ammar/SportsResultsChatbot;MHD-Hamza-Ammar/SportsResultsChatbot;https://github.com/MHD-Hamza-Ammar/SportsResultsChatbot;0;2;2023-03-18T23:13:46Z;2023-03-18T23:34:49Z;2023-03-25T21:33:58Z;master;MHD-Hamza-Ammar;87787749;User;1b5230074eef83339db150edab2212b3bbd49dd6;2023-03-25T21:33:27Z;src;['src/domain copy.yml', 'src/domain.yml'];2;['src/data/nlu.yml'];1;['src/actions/actions.py'];1;['README.md'];1;['src/config.yml'];1
constructorfleet/rasa-eddie;constructorfleet/rasa-eddie;https://github.com/constructorfleet/rasa-eddie;0;0;2023-02-28T06:39:27Z;2023-02-28T06:52:24Z;2023-02-28T16:37:27Z;main;constructorfleet;49292922;Organization;9d80801132a793fe98e0f4370e9de9ab23edfc86;2023-02-28T16:36:23Z;domain;['domain/domain-food.yml', 'domain/domain-media.yml', 'domain/domain-chitchat.yml'];3;['data/chitchat/nlu.yml', 'data/food/nlu.yml', 'data/media/nlu.yml'];3;['actions/media/plex/library.py', 'actions/media/plex/const.py', 'actions/const.py', 'actions/actions.py', 'actions/config.py', 'actions/utils.py', 'actions/media/const.py'];7;[];0;['config.yml'];1
DaSKITA/chatbot;DaSKITA/chatbot;https://github.com/DaSKITA/chatbot;1;1;2021-01-08T16:07:11Z;2023-01-25T21:11:54Z;2023-01-19T12:11:39Z;main;DaSKITA;64848786;Organization;162a4e3a9a538fc3a511db9eaa527b3325b5e4f9;2023-01-19T12:11:38Z;.;['domain.yml', 'domain_en.yml'];2;['data/nlu.yml'];1;['actions/actions.py'];1;['README.md'];1;['config.yml', 'config_en.yml', 'etc/rasa/config.yml'];3
ruobing2009/chatbot;ruobing2009/chatbot;https://github.com/ruobing2009/chatbot;0;1;2018-09-20T06:14:45Z;2018-09-20T09:39:33Z;2022-12-15T03:16:56Z;master;ruobing2009;11373434;User;61fba3a0a5c22d9410e0e059e31d21f49070c685;2018-09-20T09:19:08Z;main_bot;['main_bot/dm_domain.yml', 'main_bot/dm_domain_local.yml'];2;['main_bot/models/bocbot/nlu_bocbot/training_data.json'];1;[];0;['README.md'];1;['main_bot/nlu_model_config.json'];1
yesgvinayak/Weather_bot;yesgvinayak/Weather_bot;https://github.com/yesgvinayak/Weather_bot;0;0;2019-07-11T12:06:24Z;2020-10-15T06:33:14Z;2022-11-21T22:00:21Z;master;yesgvinayak;46396439;User;e173253c03e58221b841f7c012e04e11d977e6cf;2020-10-15T06:33:10Z;.;['domain.yml', 'weather_domain.yml'];2;['data/data.json', 'data/nlu_interactive.md'];2;['actions.py'];1;['README.md'];1;['models/nlu/default/weathernlu/metadata.json'];1
Nikhileshorg/Chatbot-using-Rasa-NLU-and-Rasa-Core;Nikhileshorg/Chatbot-using-Rasa-NLU-and-Rasa-Core;https://github.com/Nikhileshorg/Chatbot-using-Rasa-NLU-and-Rasa-Core;0;0;2019-03-04T09:44:49Z;2019-07-01T06:30:20Z;2022-11-21T21:24:28Z;master;Nikhileshorg;10613047;User;3ee9071e90796860c68a64c449a7276766425493;2019-07-01T06:30:18Z;.;['domain.yml', 'weather_domain.yml'];2;[];0;['actions.py'];1;['README.md'];1;[];0
KSzczepa/Shopping-Assistant-Chatbot;KSzczepa/Shopping-Assistant-Chatbot;https://github.com/KSzczepa/Shopping-Assistant-Chatbot;5;1;2022-03-03T09:47:30Z;2024-04-18T14:18:07Z;2022-11-14T18:50:28Z;main;KSzczepa;87570436;User;bd8685fe12d744939233596f29d14965e5bfe794;2022-11-14T18:50:28Z;cogrob_chatbot;['cogrob_chatbot/backup_domain.yml', 'cogrob_chatbot/domain.yml'];2;['cogrob_chatbot/data/nlu.yml'];1;['cogrob_chatbot/actions/dict.py', 'cogrob_chatbot/actions/tasks.py', 'cogrob_chatbot/actions/actions.py'];3;['README.md'];1;['cogrob_chatbot/config.yml'];1
swapnilsinha312/shebaChatbot;swapnilsinha312/shebaChatbot;https://github.com/swapnilsinha312/shebaChatbot;2;0;2022-02-17T16:31:55Z;2022-05-16T17:10:10Z;2022-10-26T07:41:01Z;main;swapnilsinha312;62843760;User;6cc6de4989cd3d126e2db2c1deb2fc85b0553f93;2022-10-26T07:41:00Z;finbot;['finbot/dd.yml', 'finbot/domain.yml'];2;['finbot/data/nlu.yml'];1;['finbot/actions/health.py', 'finbot/actions/bucket_mapping.py', 'finbot/actions/suggest.py', 'finbot/actions/actions.py', 'finbot/actions/life.py', 'finbot/actions/heathtemp.py', 'finbot/actions/additional_cat.py', 'finbot/actions/classify.py', 'finbot/actions/database.py'];9;['README.md'];1;['finbot/config.yml'];1
web3r-chat/dapp-0-bot;web3r-chat/dapp-0-bot;https://github.com/web3r-chat/dapp-0-bot;2;0;2022-06-07T10:40:07Z;2023-02-22T12:12:23Z;2022-07-22T04:23:35Z;main;web3r-chat;94992223;Organization;a550e9eea8fb2745f7907f6ff37c262e4f08e5c6;2022-07-22T04:23:32Z;domain;['domain/domain-base.yml', 'domain/domain-faq-about.yml', 'domain/domain-faq-sales.yml'];3;['data/nlu/nlu-base.yml', 'data/nlu/nlu-faq-about.yml', 'data/nlu/nlu-faq-sales.yml'];3;['actions/actions.py', 'actions/custom_forms.py', 'actions/canister_motoko.py', 'actions/settings.py'];4;['README.md'];1;['config.yml'];1
Saloni1808/Chatbot;Saloni1808/Chatbot;https://github.com/Saloni1808/Chatbot;0;1;2018-05-13T15:46:51Z;2020-08-14T14:55:15Z;2022-06-21T21:20:06Z;master;Saloni1808;33875907;User;7f934f6130313644c09c9739ecddb1eea08c83f8;2020-08-14T14:55:12Z;.;['domain.yml', 'wine_domain.yml'];2;['data.json', 'training_data.json'];2;['actions.py'];1;['README.md'];1;['metadata.json'];1
roottoor1234/customer-care-chatbot-main;roottoor1234/customer-care-chatbot-main;https://github.com/roottoor1234/customer-care-chatbot-main;0;0;2022-05-20T13:40:15Z;2022-05-20T13:56:38Z;2022-05-20T13:56:35Z;main;roottoor1234;12631749;User;280a682f7187a98c99ac1b583fe8cc630f9441f3;2022-05-20T13:56:35Z;.;['domain.yml', 'domain.yml.bak'];2;['data/nlu.yml'];1;[];0;['README.md'];1;['config.yml'];1
Jeee-bot/Chatbot;Jeee-bot/Chatbot;https://github.com/Jeee-bot/Chatbot;0;0;2022-04-26T12:09:57Z;2022-04-26T12:10:15Z;2022-04-26T12:12:07Z;main;Jeee-bot;78933746;User;cf79ba6b12e21e2581056bb7abb169220d5ba5ad;2022-04-26T12:12:07Z;.;['domain.yml', 'domain2.yml'];2;['data/nlu.md'];1;['actions.py'];1;[];0;['config.yml'];1
julianweng/austin;julianweng/austin;https://github.com/julianweng/austin;2;2;2022-01-04T14:47:39Z;2023-05-11T01:57:17Z;2022-03-10T15:31:48Z;main;julianweng;10285518;User;8a9c846befe439ab7bbb15cbf8f03040a6e93c2f;2022-03-10T15:31:48Z;domain;['domain/quiz_domain.yml', 'domain/faq_chitchat.yml', 'domain/actions_domain.yml', 'domain/base_domain.yml'];4;['data/base.yml', 'data/chitchat.yml', 'data/faq.yml', 'data/inspire_joke.yml', 'data/quiz.yml', 'data/quiz_misc.yml', 'more_data/chitchat_long.yml', 'more_data/faq_learn.yml', 'more_data/nlu_personal.yml'];9;['actions/wiki.py', 'actions/base.py', 'actions/generateQ.py', 'actions/getAlias.py', 'actions/initdatabase.py', 'actions/quizmisc.py', 'actions/inspire_joke.py', 'actions/compareQuestions.py', 'actions/quiz.py'];9;['README.md'];1;['config.yml'];1
