id;full-name;html-url;stars;forks;owner-name;owner-type;created-at;last-commit;last-commit-date;domain-files;type;n-intents;intents;n-entities;entities;n-actions;actions;n-slots;slots;n-slots-from-entity;n-slots-from-text;slots-type;n-forms;forms;version;config-languages;training-language;response-languages;pure-english;n-actions-files
CSP584-Group18/EliteCare-HealthAssistant;CSP584-Group18/EliteCare-HealthAssistant;https://github.com/CSP584-Group18/EliteCare-HealthAssistant;1;0;CSP584-Group18;Organization;2024-09-17T18:06:51Z;4be52a2ad1bc6daf92b9cc65bcc115514263ca0c;2024-12-18T02:05:30Z;['rasa/domain.yml'];sfsd;15;['greet', 'mood_happy', 'mood_sad', 'symptom_report', 'select_severity', 'provide_medicine', 'ask_side_effects', 'confirm_purchase', 'goodbye', 'confirm_purchase_yes_no', 'order_status', 'product_issue', 'upload_image', 'fraud_issue', 'upload_fraud_image'];9;['symptoms', 'severity', 'medicine_name', 'response', 'issue_type', 'order_id', 'transaction_id', 'image_url', 'fraud_image_url'];11;['action_greet_user', 'action_process_symptoms', 'action_provide_medicine', 'action_medicine_details', 'action_provide_side_effects', 'action_checkout', 'action_confirm_purchase', 'action_operator_agent', 'action_handle_order_tracking', 'action_handle_product_issue', 'action_handle_fraud_issue'];17;['symptoms', 'severity', 'medicine_ids', 'selected_medicine', 'response', 'issue_type', 'order_id', 'transaction_id', 'image_url', 'fraud_image_url', 'operator_task', 'order_status', 'customer_name', 'total_amount', 'delivery_date', 'product_issue_decision', 'fraud_issue_decision'];10;7;['text', 'text', 'list', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'float', 'text', 'text', 'text'];0;[];3.1;['en'];['en'];['en'];True;1
Carlosjr5/Career-Advisor-Bot;Carlosjr5/Career-Advisor-Bot;https://github.com/Carlosjr5/Career-Advisor-Bot;1;0;Carlosjr5;User;2024-03-11T12:19:33Z;777e0024a00ddb9452fae37b49cfc9539ccc13b0;2024-05-03T08:46:53Z;['domain.yml'];sfsd;13;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'topics', 'freQ', 'topic_info', 'topic_lo', 'topic_career_future', 'compare_topics'];3;['topic', 'learning_outcome', 'career_future'];8;['action_show_topics', 'action_show_freQ', 'action_show_topic_info', 'action_show_topic_lo', 'action_show_topic_career_future', 'action_show_topic_comparison', 'action_show_topic_degree', 'action_clarify_topic'];2;['results', 'topic'];3;0;['text', 'text'];0;[];3.1;['en'];['en'];['en'];True;1
Chatbot-Challenge/Rasa-Template;Chatbot-Challenge/Rasa-Template;https://github.com/Chatbot-Challenge/Rasa-Template;1;0;Chatbot-Challenge;Organization;2023-02-14T14:06:06Z;a21f3acfc39af410309e501a91cee95bfbab4b2f;2023-06-01T09:25:11Z;['domain.yml'];sfsd;3;['help', 'interact', 'start'];1;['object'];1;['action_interact'];1;['data'];0;0;['rasa.shared.core.slots.AnySlot'];0;[];3.1;['en'];['en'];['en'];True;1
ChristianCitterio/pjs_chatbot_rasa;ChristianCitterio/pjs_chatbot_rasa;https://github.com/ChristianCitterio/pjs_chatbot_rasa;1;0;ChristianCitterio;User;2023-12-07T20:45:29Z;a4f71aea9f8a7880917641646e6861c54299dfe4;2023-12-12T00:33:32Z;['domain.yml'];sfsd;7;['greet', 'goodbye', 'conf_deny', 'order_food', 'get_menu', 'get_open_hours', 'give_address'];8;['food', 'times', 'days', 'address', 'confirm_deny', 'order_confirmed', 'address_confirmed', 'delivery_home'];4;['action_return_menu', 'action_return_week_hours', 'action_return_order_summary', 'action_save_order'];7;['food_items', 'times', 'days', 'address', 'order_confirmed', 'address_confirmed', 'delivery_home'];7;0;['list', 'text', 'text', 'text', 'bool', 'bool', 'bool'];1;['order_form'];3.1;['en'];['en'];['en'];True;2
DIVASRAJAN/AI_Chatbot;DIVASRAJAN/AI_Chatbot;https://github.com/DIVASRAJAN/AI_Chatbot;1;0;DIVASRAJAN;User;2023-12-25T16:09:44Z;b5e1aee7c2bf48fd5cba09b68dc16eebd631c32e;2024-01-13T14:09:35Z;['domain.yml'];sfsd;11;['affirm', 'book_restaurant', 'bot_challenge', 'deny', 'goodbye', 'greet', 'mood_great', 'mood_unhappy', 'num_people', 'rest_name', 'user_location'];3;['hotel', 'place', 'number'];7;['utter_people', 'action_reservation_confirm', 'action_fetch_hotel_mysql', 'utter_success', 'utter_location', 'action_fetch_data_mysql', 'utter_rest_name'];1;['hotel'];1;0;['text'];0;[];3.1;[];['en'];['en'];True;1
DenDeen/Rasa-Chatbot;DenDeen/Rasa-Chatbot;https://github.com/DenDeen/Rasa-Chatbot;1;1;DenDeen;User;2022-05-05T08:21:37Z;1e0aafbe882791b2981a2a6ab20b7d8bdfbb939b;2023-03-08T16:13:01Z;['rasa/domain.yml'];sfsd;6;['greet', 'goodbye', 'inquire_time', 'query_character', 'query_planet', 'query_character_attribute'];5;['place', 'character', 'planet', 'species', 'attribute'];4;['action_tell_time', 'action_query_character', 'action_query_planet', 'action_query_character_attribute'];5;['location', 'character', 'planet', 'species', 'attribute'];5;0;['text', 'text', 'text', 'text', 'text'];0;[];3.1;['en'];['en'];['en'];True;1
Dennis-Maigua/nlp-chatbot;Dennis-Maigua/nlp-chatbot;https://github.com/Dennis-Maigua/nlp-chatbot;1;0;Dennis-Maigua;User;2024-06-29T23:15:49Z;f2dfffbd7e1175758849c387e59a39128e54584b;2024-07-04T00:37:31Z;['domain.yml'];sfsd;16;['greet', 'goodbye', 'thanks', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'intro_unhappy', 'get_name', 'ask_disease', 'inform_symptoms', 'question_disease', 'give_time', 'inform_disease', 'hospital'];1;['disease'];3;['action_get_diagnosis', 'action_give_time', 'action_disease_info'];1;['disease'];1;0;['text'];0;[];3.1;['en'];['en'];['en'];True;1
DerXter/NumMenu-Bot;DerXter/NumMenu-Bot;https://github.com/DerXter/NumMenu-Bot;28;6;DerXter;User;2021-08-03T15:54:09Z;295d4cd88127c19a296d1d489bba972064b12d46;2024-04-24T15:58:10Z;['domain.yml'];sfsd;8;['greet', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'give_option'];1;['option'];9;['action_handle_options', 'action_handle_pytorch', 'action_handle_tensorflow', 'action_handle_deeplearning4j', 'action_handle_cntk', 'action_handle_keras', 'action_handle_onnx', 'action_handle_mxnet', 'action_handle_caffe'];3;['option', 'submenu', 'suboption'];1;0;['text', 'text', 'text'];0;[];3.1;['en'];['en'];['en'];True;1
Dingdong-LIU/Lab1_Chatbot_Rasa__chatbot/01-custom-action;Dingdong-LIU/Lab1_Chatbot_Rasa;https://github.com/Dingdong-LIU/Lab1_Chatbot_Rasa;2;4;Dingdong-LIU;User;2023-02-26T14:05:44Z;5c53d1ad8560270f2bd4dcd0885de1f042814d6e;2023-03-19T14:25:11Z;['chatbot/01-custom-action/domain.yml'];mfsd;10;['where_i_live', 'greet', 'inquire_time_difference', 'inquire_time', 'goodbye', 'affirm', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge'];1;['place'];4;['action_remember_where', 'action_tell_time', 'action_time_difference', 'utter_greet'];1;['location'];0;0;['text'];0;[];3.1;['en'];['en'];['en'];True;1
Dingdong-LIU/Lab1_Chatbot_Rasa__chatbot/02-forms-pizza-ordering-chatbot;Dingdong-LIU/Lab1_Chatbot_Rasa;https://github.com/Dingdong-LIU/Lab1_Chatbot_Rasa;2;4;Dingdong-LIU;User;2023-02-26T14:05:44Z;5c53d1ad8560270f2bd4dcd0885de1f042814d6e;2023-03-19T14:25:11Z;['chatbot/02-forms-pizza-ordering-chatbot/domain.yml'];mfsd;11;['buy_pizza', 'greet', 'inform', 'goodbye', 'affirm', 'stop', 'deny', 'mood_great', 'mood_unhappy', 'bot_challenge', 'request_pizza_form'];2;['pizza_size', 'pizza_type'];6;['utter_ask_continue', 'utter_goodbye', 'utter_greet', 'utter_pizza_slots', 'utter_submit', 'validate_simple_pizza_form'];2;['pizza_size', 'pizza_type'];2;0;['text', 'text'];1;['simple_pizza_form'];3.1;['en'];['en'];['en'];True;1
