full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type
ayabongar/kem;https://github.com/ayabongar/kem;0;0;2024-11-22T09:33:16Z;2024-11-27T09:12:23Z;2024-11-27T09:12:19Z;main;ayabongar;84497324;User
Vistia-AI/Vistia;https://github.com/Vistia-AI/Vistia;0;0;2024-10-25T10:09:48Z;2024-11-13T03:59:51Z;2024-11-07T08:26:18Z;main;Vistia-AI;181935027;Organization
BigBuildBench/davidberenstein1957_classy-classification;https://github.com/BigBuildBench/davidberenstein1957_classy-classification;0;0;2024-11-03T06:30:30Z;2024-11-03T06:30:44Z;2024-11-03T06:30:33Z;main;BigBuildBench;182476325;Organization
3deiva/Virtual-Classroom-assistant;https://github.com/3deiva/Virtual-Classroom-assistant;0;0;2024-09-02T17:47:52Z;2024-09-02T18:00:00Z;2024-09-02T17:59:57Z;main;3deiva;151660497;User
shenranwang/EEAtE;https://github.com/shenranwang/EEAtE;0;0;2021-10-07T07:31:38Z;2021-12-25T18:12:01Z;2021-12-25T18:11:57Z;main;shenranwang;47180825;User

