id;full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type;last-commit;last-commit-date;domain-folder;domain-files;n-domain-files;nlu-files;n-nlu-files;actions-files;n-actions-files;readme-files;n-readme-files;language-files;n-language-files;unclear-match
kemwe/customer-service-chatbot__.;kemwe/customer-service-chatbot;https://github.com/kemwe/customer-service-chatbot;0;0;2021-06-07T01:40:21Z;2021-06-07T01:57:20Z;2021-06-07T01:57:17Z;master;kemwe;47516137;User;b10ff698ac1ec55ab36cbbfe4851ada80227dd99;2021-06-07T01:56:57Z;.;['domain.yml'];1;['data/.ipynb_checkpoints/nlu-checkpoint.md', 'data/nlu.md'];2;[];0;[];0;['config.yml'];1;[]
meelement/rasa-server__examples/e2ebot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/e2ebot;['examples/e2ebot/domain.yml'];1;['examples/e2ebot/data/nlu.yml'];1;[];0;['README.md'];1;['examples/e2ebot/config.yml'];1;['data/botfront/nlu/nlu-en.md', 'data/botfront/nlu/nlu-fr.md', 'data/examples/rasa/demo-rasa-multi-intent.md', 'data/examples/rasa/demo-rasa.json', 'data/examples/rasa/demo-rasa.md', 'data/rasa_yaml_examples/nlu.yml', 'rasa_addons/core/actions/action_botfront_mapping.py', 'rasa_addons/core/actions/submit_form_to_botfront.py', 'rasa_addons/core/actions/slot_rule_validator.py', 'rasa_addons/core/actions/required_slots_graph_parser.py', 'rasa_addons/core/actions/action_botfront_form.py', 'rasa_addons/core/actions/action_botfront_disambiguation.py', 'data/botfront/config-en.yml', 'data/botfront/config-fr.yml', 'data/configs_for_docs/config_featurizers.yml', 'data/configs_for_docs/default_config.yml', 'data/configs_for_docs/default_english_config.yml', 'data/configs_for_docs/default_spacy_config.yml', 'data/configs_for_docs/example_for_suggested_config.yml', 'data/configs_for_docs/example_for_suggested_config_after_train.yml', 'data/configs_for_docs/pretrained_embeddings_convert_config.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_1.yml', 'data/configs_for_docs/pretrained_embeddings_mitie_config_2.yml', 'data/configs_for_docs/pretrained_embeddings_spacy_config.yml', 'data/configs_for_docs/supervised_embeddings_config.yml', 'data/examples/dialogflow/agent.json', 'docker/configs/config_pretrained_embeddings_mitie.yml', 'docker/configs/config_pretrained_embeddings_spacy_de.yml', 'docker/configs/config_pretrained_embeddings_spacy_en.yml', 'docker/configs/config_pretrained_embeddings_spacy_en_duckling.yml', 'changelog/README.md', 'data/README.md']
meelement/rasa-server__examples/moodbot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/moodbot;['examples/moodbot/domain.yml'];1;['examples/moodbot/data/nlu.yml'];1;[];0;['README.md', 'examples/moodbot/README.md'];2;['examples/moodbot/config.yml'];1;[]
meelement/rasa-server__examples/reminderbot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/reminderbot;['examples/reminderbot/domain.yml'];1;['examples/reminderbot/data/nlu.yml'];1;['examples/reminderbot/actions/actions.py'];1;['README.md', 'examples/reminderbot/README.md'];2;['examples/reminderbot/config.yml'];1;[]
meelement/rasa-server__examples/concertbot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/concertbot;['examples/concertbot/domain.yml'];1;['examples/concertbot/data/nlu.yml'];1;['examples/concertbot/actions/actions.py'];1;['README.md', 'examples/concertbot/README.md'];2;['examples/concertbot/config.yml'];1;[]
meelement/rasa-server__examples/knowledgebasebot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/knowledgebasebot;['examples/knowledgebasebot/domain.yml'];1;['examples/knowledgebasebot/data/nlu.yml'];1;['examples/knowledgebasebot/actions/actions.py'];1;['README.md', 'examples/knowledgebasebot/README.md'];2;['examples/knowledgebasebot/config.yml'];1;[]
meelement/rasa-server__examples/rules;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/rules;['examples/rules/domain.yml'];1;['examples/rules/data/nlu.yml'];1;['examples/rules/actions/actions.py'];1;['README.md'];1;['examples/rules/config.yml'];1;[]
meelement/rasa-server__rasa/cli/initial_project;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;rasa/cli/initial_project;['rasa/cli/initial_project/domain.yml'];1;['rasa/cli/initial_project/data/nlu.yml'];1;['rasa/core/actions/loops.py', 'rasa/core/actions/forms.py', 'rasa/core/actions/action.py', 'rasa/core/actions/two_stage_fallback.py'];4;['README.md'];1;['rasa/cli/default_config.yml', 'rasa/cli/initial_project/config.yml', 'rasa/shared/importers/default_config.yml'];3;[]
meelement/rasa-server__examples/responseselectorbot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/responseselectorbot;['examples/responseselectorbot/domain.yml'];1;['examples/responseselectorbot/data/nlu.yml'];1;[];0;['README.md', 'examples/responseselectorbot/README.md'];2;['examples/responseselectorbot/config.yml'];1;[]
meelement/rasa-server__examples/formbot;meelement/rasa-server;https://github.com/meelement/rasa-server;0;0;2021-06-10T03:51:58Z;2023-09-29T06:15:24Z;2021-06-04T09:23:14Z;master;meelement;24609095;User;f2a6f9187d6058beb0a954849cfc0811f817a27f;2021-06-04T09:22:49Z;examples/formbot;['examples/formbot/domain.yml'];1;['examples/formbot/data/nlu.yml'];1;['examples/formbot/actions/actions.py'];1;['README.md', 'examples/formbot/README.md'];2;['examples/formbot/config.yml'];1;[]
